etudiant_id,cours_id,date,progression,note
E0014,C0285,2023-07-04,32,
E0014,C0323,2023-04-20,100,5
E0014,C0276,2023-10-19,31,
E0014,C0329,2023-12-08,100,4
E0014,C0261,2023-06-01,100,
E0014,C0211,2023-05-13,100,2
E0015,C0472,2025-03-08,100,5
E0015,C0434,2025-02-12,100,
E0015,C0477,2024-06-26,100,
E0015,C0448,2025-07-08,100,
E0015,C0495,2024-06-21,52,
E0015,C0497,2025-06-24,0,
E0015,C0455,2025-03-03,100,5
E0015,C0504,2024-08-01,100,
E0016,C0058,2024-03-31,53,
E0016,C0083,2024-11-12,45,
E0016,C0027,2024-04-20,0,
E0016,C0064,2025-02-23,11,
E0016,C0057,2025-04-06,100,3
E0016,C0443,2024-09-02,100,5
E0017,C0386,2026-05-01,0,
E0017,C0359,2026-05-19,100,
E0017,C0342,2025-09-22,100,
E0017,C0394,2026-06-08,0,
E0017,C0397,2026-01-01,43,
E0017,C0413,2026-06-06,43,
E0017,C0409,2026-02-27,100,
E0017,C0354,2026-03-22,0,
E0017,C0016,2026-05-08,0,
E0018,C0309,2025-08-12,77,
E0018,C0310,2025-12-13,36,
E0018,C0318,2025-04-08,14,
E0018,C0311,2025-09-17,100,5
E0018,C0305,2025-12-05,100,
E0018,C0331,2025-03-15,100,1
E0018,C0270,2025-07-22,66,
E0018,C0288,2024-12-26,100,2
E0018,C0286,2025-07-04,100,4
E0019,C0048,2024-03-19,58,
E0019,C0213,2024-03-04,100,
E0020,C0181,2026-04-28,100,4
E0020,C0198,2026-06-18,80,
E0020,C0180,2026-06-06,100,3
E0020,C0416,2026-10-02,43,
E0021,C0498,2027-01-28,100,
E0021,C0465,2027-02-21,100,
E0021,C0474,2027-01-16,100,4
E0021,C0431,2026-12-06,18,
E0021,C0444,2027-06-27,100,
E0021,C0352,2026-07-29,72,
E0022,C0413,2024-12-28,100,
E0022,C0346,2024-05-22,0,
E0022,C0419,2025-04-15,0,
E0022,C0364,2024-12-30,100,2
E0022,C0361,2025-01-18,13,
E0022,C0351,2025-04-07,56,
E0022,C0397,2024-09-23,100,1
E0022,C0105,2024-08-08,100,
E0023,C0108,2027-04-02,93,
E0023,C0106,2027-02-12,100,5
E0023,C0112,2026-12-02,53,
E0023,C0135,2027-07-21,23,
E0023,C0055,2026-11-24,0,
E0024,C0178,2025-09-14,41,
E0024,C0226,2025-08-13,100,
E0024,C0234,2025-02-28,100,
E0024,C0235,2025-11-29,100,1
E0024,C0174,2025-07-08,18,
E0024,C0170,2024-11-11,60,
E0024,C0502,2025-06-30,100,3
E0025,C0141,2023-12-02,0,
E0025,C0164,2024-05-05,38,
E0025,C0125,2024-08-10,44,
E0026,C0212,2026-10-31,100,2
E0026,C0224,2026-12-12,26,
E0026,C0241,2025-11-27,0,
E0026,C0341,2026-08-02,100,3
E0027,C0044,2025-05-11,100,3
E0027,C0039,2025-08-23,100,4
E0027,C0010,2025-01-02,0,
E0027,C0378,2025-05-02,86,
E0028,C0487,2024-09-24,76,
E0028,C0433,2024-10-15,100,
E0028,C0467,2024-08-18,100,3
E0028,C0498,2024-09-14,100,4
E0028,C0480,2025-01-08,100,4
E0028,C0488,2024-05-15,0,
E0028,C0339,2024-08-11,100,
E0029,C0275,2025-09-06,75,
E0029,C0267,2025-09-09,57,
E0029,C0244,2025-05-04,100,1
E0030,C0074,2024-01-15,100,
E0030,C0028,2023-12-03,0,
E0030,C0013,2023-07-21,84,
E0030,C0041,2023-12-17,0,
E0031,C0144,2025-09-07,100,4
E0031,C0156,2025-09-20,26,
E0031,C0158,2025-10-13,0,
E0031,C0131,2025-12-06,45,
E0031,C0130,2026-03-17,100,
E0032,C0040,2026-05-02,0,
E0032,C0029,2025-12-17,0,
E0032,C0115,2026-04-06,100,5
E0033,C0460,2025-02-13,50,
E0033,C0433,2024-11-24,27,
E0033,C0464,2025-03-14,100,1
E0033,C0439,2024-08-23,100,
E0033,C0493,2024-04-30,83,
E0033,C0426,2024-05-21,63,
E0033,C0441,2024-12-11,100,2
E0033,C0319,2024-04-10,0,
E0034,C0188,2024-10-09,100,
E0034,C0238,2024-05-05,0,
E0034,C0240,2024-03-16,100,
E0034,C0306,2024-08-12,0,
E0035,C0005,2025-02-01,100,
E0035,C0050,2024-11-26,100,3
E0035,C0030,2025-07-08,53,
E0035,C0065,2024-11-23,100,
E0035,C0105,2025-01-29,0,
E0036,C0017,2026-08-14,100,4
E0036,C0060,2026-05-01,70,
E0036,C0056,2026-08-20,26,
E0036,C0301,2026-08-17,100,2
E0037,C0254,2024-12-13,100,
E0037,C0295,2025-08-19,88,
E0037,C0290,2024-10-05,100,
E0037,C0315,2025-05-10,100,
E0037,C0270,2024-09-15,72,
E0037,C0293,2025-07-08,100,5
E0037,C0333,2025-07-29,100,
E0037,C0344,2025-03-06,100,1
E0038,C0473,2025-03-20,93,
E0038,C0489,2025-08-25,14,
E0038,C0001,2025-05-21,100,
E0039,C0443,2025-11-27,100,4
E0039,C0477,2026-10-16,87,
E0039,C0439,2026-10-13,100,1
E0039,C0425,2026-11-12,100,
E0039,C0128,2025-11-08,88,
E0040,C0070,2025-10-24,45,
E0040,C0125,2025-05-30,0,
E0041,C0433,2025-07-03,100,
E0041,C0450,2025-03-07,100,3
E0041,C0458,2025-06-17,100,2
E0041,C0445,2025-08-20,0,
E0041,C0426,2024-09-24,89,
E0041,C0468,2025-02-08,59,
E0041,C0444,2025-04-27,5,
E0041,C0334,2025-03-03,100,
E0042,C0069,2026-07-02,100,2
E0042,C0012,2027-01-18,0,
E0042,C0063,2026-04-30,17,
E0042,C0030,2026-05-29,100,3
E0043,C0346,2024-08-03,0,
E0043,C0391,2024-12-19,100,
E0043,C0410,2025-04-28,17,
E0043,C0388,2025-07-07,100,4
E0043,C0353,2024-10-02,46,
E0043,C0031,2025-07-28,66,
E0044,C0237,2025-11-23,100,2
E0044,C0183,2025-04-20,0,
E0044,C0212,2024-12-25,0,
E0044,C0225,2025-12-28,100,1
E0044,C0187,2025-07-06,0,
E0044,C0188,2025-08-26,63,
E0044,C0247,2024-12-16,0,
E0044,C0216,2025-04-16,68,
E0044,C0213,2025-11-02,100,3
E0045,C0053,2027-02-05,57,
E0045,C0020,2026-08-04,100,1
E0045,C0048,2026-11-19,100,
E0045,C0071,2027-02-04,88,
E0045,C0070,2026-10-23,90,
E0045,C0012,2027-03-16,100,4
E0045,C0021,2026-12-08,22,
E0045,C0060,2026-08-19,0,
E0045,C0261,2027-03-24,87,
E0046,C0404,2026-10-11,53,
E0046,C0380,2026-10-16,100,1
E0046,C0355,2025-12-26,100,4
E0046,C0385,2026-03-07,0,
E0046,C0343,2026-04-13,41,
E0046,C0419,2027-01-09,60,
E0046,C0186,2026-01-01,100,1
E0047,C0236,2023-09-02,100,1
E0047,C0172,2024-06-03,23,
E0047,C0241,2024-08-03,9,
E0047,C0183,2024-05-12,100,5
E0047,C0201,2023-07-08,89,
E0047,C0181,2024-06-16,67,
E0047,C0262,2023-11-08,100,
E0048,C0454,2025-05-21,100,5
E0048,C0425,2025-03-28,100,4
E0048,C0446,2025-10-22,94,
E0048,C0480,2024-12-12,100,4
E0048,C0426,2025-04-29,100,
E0048,C0491,2025-11-10,100,4
E0049,C0015,2024-05-27,44,
E0049,C0245,2024-10-03,100,
E0050,C0036,2023-07-11,100,1
E0050,C0023,2023-11-08,100,3
E0050,C0002,2024-01-30,0,
E0050,C0080,2023-06-09,20,
E0050,C0048,2024-03-28,100,4
E0050,C0077,2024-03-28,40,
E0050,C0009,2023-04-25,7,
E0050,C0062,2023-10-14,100,4
E0050,C0057,2023-04-30,87,
E0051,C0086,2025-01-24,100,2
E0051,C0143,2024-06-30,75,
E0051,C0116,2024-05-14,100,3
E0051,C0163,2024-09-17,0,
E0051,C0300,2024-10-22,100,
E0052,C0252,2026-02-04,100,5
E0052,C0185,2026-09-24,100,4
E0052,C0235,2026-11-07,65,
E0052,C0227,2026-09-24,100,1
E0052,C0239,2026-05-09,19,
E0052,C0206,2026-05-15,100,2
E0052,C0195,2026-03-07,100,4
E0052,C0228,2026-03-28,100,3
E0053,C0212,2027-02-09,35,
E0053,C0174,2027-07-17,100,2
E0053,C0202,2026-11-27,100,1
E0053,C0192,2026-08-19,0,
E0053,C0183,2027-03-28,32,
E0053,C0194,2027-02-12,100,
E0053,C0201,2026-08-12,0,
E0053,C0171,2027-01-08,0,
E0053,C0490,2026-12-04,100,4
E0054,C0075,2023-03-19,45,
E0054,C0026,2023-06-19,100,3
E0054,C0045,2023-07-15,100,1
E0054,C0015,2023-10-11,100,3
E0054,C0047,2023-07-06,100,
E0054,C0051,2023-11-19,100,2
E0055,C0259,2023-11-19,100,5
E0055,C0297,2023-12-10,14,
E0055,C0313,2024-02-03,40,
E0055,C0330,2024-09-28,0,
E0055,C0314,2024-06-26,100,2
E0055,C0356,2024-12-03,0,
E0056,C0147,2024-08-24,87,
E0056,C0099,2024-09-08,100,
E0056,C0096,2025-05-04,100,2
E0056,C0125,2025-05-11,100,3
E0056,C0078,2024-11-22,0,
E0057,C0217,2024-07-18,37,
E0057,C0206,2024-10-20,0,
E0057,C0250,2024-07-26,0,
E0057,C0229,2024-09-01,0,
E0057,C0247,2024-11-17,70,
E0057,C0252,2024-06-12,64,
E0057,C0409,2024-09-19,100,
E0058,C0199,2024-04-09,100,1
E0058,C0205,2023-08-19,100,
E0058,C0227,2023-08-19,100,2
E0058,C0259,2023-12-27,100,2
E0059,C0392,2023-12-14,100,5
E0059,C0357,2024-07-15,100,3
E0059,C0338,2024-11-09,79,
E0059,C0394,2023-11-05,100,4
E0059,C0360,2024-07-19,100,
E0059,C0380,2024-06-13,100,2
E0060,C0222,2023-03-21,49,
E0060,C0182,2023-12-03,11,
E0060,C0235,2023-10-07,0,
E0060,C0221,2024-03-14,100,
E0060,C0208,2023-08-21,0,
E0060,C0183,2024-02-15,100,2
E0060,C0204,2023-04-04,89,
E0060,C0383,2023-08-13,100,5
E0061,C0098,2025-12-24,37,
E0061,C0114,2026-06-02,100,3
E0061,C0152,2026-01-01,100,3
E0061,C0086,2026-09-19,83,
E0061,C0157,2026-06-05,90,
E0061,C0090,2026-04-07,100,1
E0061,C0294,2026-10-19,100,
E0062,C0356,2024-02-14,100,
E0062,C0355,2024-06-20,100,4
E0062,C0438,2024-04-23,100,1
E0063,C0327,2025-01-31,100,3
E0063,C0278,2024-11-26,41,
E0063,C0260,2024-10-25,100,
E0064,C0371,2025-09-23,100,5
E0064,C0372,2026-04-10,100,1
E0064,C0375,2025-07-26,100,3
E0064,C0369,2025-12-12,100,
E0064,C0408,2025-11-06,100,
E0064,C0342,2025-10-24,67,
E0064,C0344,2025-10-01,0,
E0064,C0380,2026-02-06,100,5
E0064,C0354,2025-10-25,24,
E0065,C0278,2025-02-14,100,1
E0065,C0309,2026-01-05,25,
E0065,C0264,2026-02-06,100,3
E0065,C0255,2025-04-12,100,3
E0065,C0324,2026-02-08,100,4
E0065,C0282,2025-07-21,0,
E0066,C0296,2027-01-02,100,1
E0066,C0267,2026-01-12,100,3
E0066,C0270,2027-01-19,100,
E0066,C0300,2026-07-16,100,1
E0066,C0500,2026-08-13,100,5
E0067,C0050,2025-06-22,38,
E0067,C0013,2026-03-07,100,4
E0067,C0019,2025-07-26,100,3
E0067,C0051,2025-03-09,100,4
E0067,C0067,2025-05-08,100,
E0067,C0422,2026-02-01,85,
E0068,C0429,2025-05-06,52,
E0068,C0485,2025-11-09,93,
E0068,C0079,2026-01-05,8,
E0069,C0065,2023-02-02,100,2
E0069,C0053,2023-02-04,100,
E0069,C0152,2023-02-08,100,3
E0070,C0093,2023-11-22,100,3
E0070,C0162,2023-11-01,100,1
E0070,C0119,2023-04-24,55,
E0070,C0168,2023-02-04,100,3
E0070,C0126,2023-09-20,52,
E0070,C0131,2023-09-12,60,
E0070,C0124,2023-10-23,100,5
E0070,C0160,2023-08-31,100,2
E0070,C0083,2023-02-26,100,5
E0071,C0032,2025-07-13,5,
E0071,C0062,2025-05-17,48,
E0071,C0192,2024-11-03,0,
E0072,C0379,2023-11-01,59,
E0072,C0371,2023-10-19,100,
E0072,C0402,2023-08-19,41,
E0072,C0367,2023-04-10,100,1
E0072,C0337,2023-06-09,42,
E0072,C0386,2023-05-12,100,4
E0072,C0358,2024-01-05,42,
E0072,C0479,2023-12-04,100,2
E0073,C0451,2026-03-04,40,
E0073,C0168,2026-03-16,0,
E0074,C0347,2026-04-19,100,
E0074,C0349,2026-06-03,100,
E0074,C0405,2025-07-17,100,3
E0074,C0344,2026-02-14,30,
E0074,C0356,2026-05-30,100,4
E0074,C0387,2026-03-23,0,
E0074,C0382,2026-04-27,0,
E0074,C0226,2025-08-20,100,
E0075,C0397,2026-02-20,0,
E0075,C0351,2025-08-14,100,2
E0075,C0372,2025-07-28,100,3
E0075,C0041,2026-02-21,36,
E0076,C0340,2026-06-20,87,
E0076,C0351,2025-11-17,100,4
E0076,C0378,2026-03-26,86,
E0076,C0471,2025-12-10,100,5
E0077,C0393,2025-03-28,100,
E0077,C0432,2025-02-03,0,
E0078,C0180,2026-09-29,53,
E0078,C0184,2027-02-19,100,2
E0078,C0246,2026-07-09,0,
E0078,C0089,2026-03-29,44,
E0079,C0020,2026-05-07,90,
E0079,C0049,2025-11-25,0,
E0080,C0248,2025-07-22,100,1
E0080,C0229,2025-02-19,100,
E0080,C0184,2025-10-13,78,
E0081,C0467,2025-04-17,8,
E0081,C0497,2025-01-29,100,2
E0081,C0503,2024-11-02,100,5
E0081,C0457,2024-05-19,100,5
E0081,C0489,2025-01-28,100,2
E0081,C0483,2025-02-28,100,
E0081,C0125,2024-09-28,36,
E0082,C0492,2025-02-02,75,
E0082,C0485,2025-03-16,100,
E0082,C0044,2025-01-22,100,1
E0083,C0300,2027-01-06,100,2
E0083,C0294,2027-03-22,73,
E0083,C0303,2026-08-11,9,
E0083,C0315,2027-02-18,29,
E0083,C0291,2026-09-14,100,2
E0083,C0281,2026-05-01,100,2
E0083,C0255,2026-06-19,100,3
E0083,C0302,2026-12-31,68,
E0083,C0314,2027-03-04,0,
E0084,C0474,2024-02-21,100,
E0084,C0486,2023-10-31,100,
E0084,C0482,2023-12-03,100,
E0084,C0466,2024-02-23,100,
E0084,C0428,2024-05-23,62,
E0084,C0458,2024-06-17,100,1
E0084,C0498,2024-03-31,100,5
E0084,C0440,2024-08-31,0,
E0084,C0504,2023-11-24,100,4
E0085,C0425,2024-01-03,91,
E0085,C0370,2023-09-29,0,
E0086,C0110,2023-10-05,100,5
E0086,C0423,2023-06-26,100,3
E0087,C0364,2026-02-28,85,
E0087,C0394,2026-07-14,100,4
E0087,C0351,2026-06-06,100,3
E0087,C0345,2025-08-16,100,2
E0087,C0361,2025-11-09,0,
E0087,C0371,2026-03-21,100,
E0087,C0401,2025-11-16,100,3
E0087,C0366,2025-11-01,39,
E0087,C0195,2026-07-17,100,4
E0088,C0072,2025-05-21,74,
E0088,C0060,2025-08-14,95,
E0088,C0414,2024-08-28,52,
E0089,C0252,2025-03-15,100,4
E0089,C0219,2025-07-29,45,
E0089,C0248,2024-12-04,28,
E0089,C0224,2024-12-04,100,4
E0089,C0173,2025-02-19,43,
E0089,C0246,2024-12-10,64,
E0089,C0247,2025-02-07,100,
E0089,C0171,2024-10-10,47,
E0089,C0070,2025-08-24,100,5
E0090,C0266,2024-11-26,0,
E0090,C0303,2024-03-18,0,
E0090,C0290,2024-07-01,71,
E0091,C0426,2024-06-06,28,
E0091,C0468,2024-05-17,100,2
E0091,C0431,2024-12-07,0,
E0091,C0434,2025-03-12,100,1
E0091,C0473,2024-05-15,100,
E0091,C0478,2025-03-10,6,
E0091,C0439,2024-11-17,100,5
E0091,C0474,2024-08-04,100,
E0091,C0312,2024-05-19,0,
E0092,C0081,2025-01-05,100,4
E0092,C0019,2024-09-09,0,
E0092,C0309,2025-05-24,100,4
E0093,C0090,2026-06-28,86,
E0093,C0150,2026-11-27,35,
E0093,C0088,2026-04-19,100,
E0093,C0101,2026-08-15,25,
E0093,C0142,2026-02-26,100,3
E0093,C0117,2026-11-26,59,
E0093,C0152,2026-07-07,100,3
E0093,C0157,2026-06-11,89,
E0093,C0213,2026-07-28,100,3
E0094,C0353,2026-04-20,0,
E0094,C0480,2026-03-10,100,
E0095,C0496,2026-07-10,44,
E0095,C0498,2026-03-20,100,4
E0095,C0454,2026-03-12,100,4
E0095,C0450,2025-11-15,100,4
E0095,C0477,2026-06-26,38,
E0095,C0451,2026-10-03,93,
E0095,C0217,2026-07-02,0,
E0096,C0372,2025-09-27,94,
E0096,C0363,2025-12-31,0,
E0096,C0402,2026-02-24,0,
E0096,C0373,2026-08-07,100,3
E0096,C0389,2025-11-12,100,3
E0096,C0315,2025-10-05,100,3
E0097,C0089,2024-02-09,19,
E0097,C0136,2024-07-21,28,
E0097,C0165,2024-04-29,60,
E0097,C0138,2025-02-26,100,
E0097,C0156,2024-08-08,100,5
E0097,C0130,2024-09-01,100,4
E0097,C0154,2024-09-30,100,
E0097,C0488,2024-09-07,100,1
E0098,C0264,2024-09-13,100,
E0098,C0222,2025-02-20,100,1
E0099,C0481,2024-03-20,27,
E0099,C0440,2023-10-11,0,
E0099,C0503,2023-11-09,72,
E0099,C0436,2024-06-11,56,
E0099,C0452,2024-01-18,13,
E0099,C0175,2023-11-12,86,
E0100,C0457,2024-07-25,5,
E0100,C0472,2025-05-18,40,
E0101,C0300,2026-09-02,0,
E0101,C0332,2027-01-01,63,
E0101,C0335,2026-06-26,100,1
E0101,C0321,2027-06-22,34,
E0101,C0264,2027-03-14,100,
E0101,C0440,2026-06-29,61,
E0102,C0442,2026-01-02,100,2
E0102,C0465,2025-09-11,100,5
E0102,C0459,2025-08-19,100,2
E0102,C0457,2025-09-08,100,1
E0102,C0502,2026-01-26,63,
E0102,C0469,2025-02-25,33,
E0102,C0447,2025-06-03,79,
E0102,C0492,2025-06-04,93,
E0102,C0366,2025-05-30,100,
E0103,C0128,2023-12-25,100,3
E0103,C0095,2023-09-09,0,
E0103,C0114,2023-06-01,100,2
E0103,C0103,2023-09-28,74,
E0103,C0118,2023-08-31,30,
E0103,C0148,2023-08-21,0,
E0103,C0141,2024-04-04,100,2
E0103,C0138,2023-09-02,100,4
E0104,C0373,2026-12-02,0,
E0104,C0114,2026-11-09,100,4
E0105,C0231,2025-12-22,100,
E0105,C0242,2025-09-20,100,2
E0105,C0225,2025-09-07,25,
E0105,C0216,2025-09-08,0,
E0105,C0226,2025-10-30,100,4
E0105,C0180,2026-01-06,100,5
E0105,C0250,2025-04-23,100,5
E0106,C0214,2024-01-13,100,4
E0106,C0217,2024-06-15,100,
E0106,C0252,2024-10-05,100,
E0106,C0212,2023-12-14,100,2
E0106,C0181,2024-09-09,7,
E0106,C0240,2024-04-04,100,5
E0107,C0417,2024-09-01,100,
E0107,C0408,2024-07-09,100,
E0107,C0387,2025-02-11,18,
E0107,C0358,2024-03-01,42,
E0107,C0360,2025-02-12,0,
E0107,C0409,2024-06-25,0,
E0107,C0362,2024-06-03,15,
E0108,C0284,2026-12-29,100,2
E0108,C0304,2026-05-11,100,4
E0108,C0314,2027-02-08,51,
E0108,C0254,2027-03-04,27,
E0108,C0313,2026-10-06,100,
E0108,C0396,2027-04-08,47,
E0109,C0450,2026-08-23,0,
E0109,C0447,2026-11-20,100,
E0109,C0240,2026-03-29,0,
E0110,C0022,2024-03-21,100,2
E0110,C0073,2023-06-10,37,
E0110,C0053,2023-11-27,0,
E0111,C0499,2025-03-03,0,
E0111,C0391,2025-07-11,100,4
E0112,C0069,2026-02-08,100,3
E0112,C0039,2026-01-25,0,
E0112,C0059,2025-08-12,100,3
E0112,C0357,2025-07-14,100,
E0113,C0421,2026-01-30,100,2
E0113,C0448,2026-03-15,100,
E0113,C0483,2026-06-23,100,5
E0113,C0459,2025-11-12,0,
E0113,C0473,2026-01-26,100,1
E0113,C0474,2025-12-26,32,
E0113,C0176,2025-12-28,89,
E0114,C0137,2024-09-04,100,
E0114,C0099,2025-06-06,100,4
E0114,C0292,2025-01-14,0,
E0115,C0419,2026-04-20,100,1
E0115,C0388,2026-08-09,72,
E0115,C0360,2026-11-22,47,
E0115,C0380,2026-11-24,62,
E0115,C0397,2026-08-06,100,1
E0115,C0395,2026-07-10,36,
E0115,C0416,2026-01-08,14,
E0115,C0393,2026-06-10,78,
E0116,C0038,2024-05-20,100,1
E0116,C0001,2025-03-27,100,4
E0116,C0050,2024-12-04,87,
E0116,C0057,2024-07-31,32,
E0116,C0025,2024-12-21,100,
E0116,C0036,2024-12-29,64,
E0116,C0498,2025-03-07,100,2
E0117,C0322,2024-08-06,100,4
E0117,C0289,2024-05-06,100,
E0117,C0327,2024-04-06,100,
E0117,C0235,2024-06-24,26,
E0118,C0053,2026-07-26,53,
E0118,C0068,2026-01-04,100,
E0118,C0055,2026-04-08,100,3
E0118,C0002,2026-06-06,100,5
E0118,C0041,2026-05-04,84,
E0118,C0009,2026-11-20,100,2
E0118,C0092,2026-02-05,100,3
E0119,C0425,2025-07-08,100,3
E0119,C0485,2025-02-25,100,2
E0119,C0219,2025-04-15,100,5
E0120,C0464,2023-09-28,0,
E0120,C0238,2023-09-14,14,
E0121,C0257,2023-09-01,42,
E0121,C0313,2023-10-31,100,1
E0121,C0319,2023-09-09,0,
E0121,C0331,2023-09-19,0,
E0121,C0254,2024-01-10,100,
E0121,C0274,2023-06-23,100,
E0121,C0302,2024-04-02,0,
E0122,C0315,2023-07-21,100,
E0122,C0133,2023-07-26,67,
E0123,C0032,2025-04-10,100,
E0123,C0016,2024-07-30,100,5
E0123,C0017,2025-04-29,100,5
E0123,C0012,2024-09-24,61,
E0123,C0083,2024-08-06,0,
E0123,C0024,2024-07-11,0,
E0123,C0071,2024-08-24,100,2
E0123,C0053,2024-07-13,43,
E0123,C0487,2024-09-11,40,
E0124,C0363,2025-06-17,100,
E0124,C0399,2025-07-07,100,4
E0124,C0351,2026-05-21,92,
E0124,C0353,2025-08-12,0,
E0124,C0368,2026-05-23,33,
E0124,C0360,2026-03-15,62,
E0124,C0402,2026-05-28,42,
E0124,C0354,2025-08-21,100,3
E0124,C0429,2025-09-26,100,2
E0125,C0050,2027-04-10,100,
E0125,C0074,2026-05-04,100,1
E0125,C0040,2026-06-22,100,1
E0125,C0024,2026-11-19,100,5
E0125,C0041,2026-07-26,100,3
E0125,C0173,2026-09-02,59,
E0126,C0059,2024-01-22,100,5
E0126,C0499,2024-03-22,100,5
E0127,C0152,2024-09-18,88,
E0127,C0122,2024-10-26,100,4
E0127,C0106,2025-03-04,100,4
E0127,C0121,2024-10-29,100,
E0127,C0119,2024-07-11,17,
E0127,C0087,2024-03-13,100,
E0127,C0468,2024-11-11,100,5
E0128,C0022,2026-07-02,100,5
E0128,C0045,2026-02-28,100,4
E0128,C0023,2026-04-15,89,
E0128,C0057,2026-08-01,0,
E0128,C0064,2026-08-04,0,
E0128,C0019,2026-01-14,50,
E0128,C0275,2026-05-04,100,3
E0129,C0444,2024-09-07,100,1
E0129,C0468,2024-07-07,25,
E0129,C0479,2024-05-28,100,
E0129,C0445,2024-08-11,69,
E0129,C0460,2024-11-17,100,
E0129,C0458,2024-05-18,0,
E0129,C0414,2024-08-16,0,
E0130,C0182,2025-12-24,100,5
E0130,C0235,2026-03-30,100,4
E0130,C0200,2025-03-25,0,
E0130,C0223,2025-06-03,100,2
E0130,C0210,2025-06-21,66,
E0130,C0241,2025-12-30,0,
E0130,C0291,2025-11-22,100,4
E0131,C0127,2024-05-17,64,
E0131,C0144,2023-10-28,47,
E0131,C0093,2023-10-15,38,
E0131,C0161,2024-06-28,0,
E0131,C0129,2024-01-30,87,
E0131,C0094,2024-06-25,100,
E0131,C0366,2023-09-30,100,2
E0132,C0168,2027-06-17,54,
E0132,C0092,2026-10-06,71,
E0132,C0105,2027-03-03,48,
E0132,C0101,2027-07-18,100,2
E0132,C0154,2027-05-24,100,2
E0132,C0165,2027-03-04,100,3
E0132,C0160,2027-07-09,100,1
E0132,C0063,2026-10-17,0,
E0133,C0195,2025-11-23,0,
E0133,C0197,2025-07-14,100,5
E0133,C0248,2025-08-16,95,
E0133,C0423,2025-04-06,100,2
E0134,C0279,2024-01-21,0,
E0134,C0296,2024-05-11,0,
E0134,C0012,2024-07-06,0,
E0135,C0311,2026-06-09,100,5
E0135,C0314,2026-06-29,100,4
E0135,C0248,2026-09-02,100,3
E0136,C0477,2026-03-24,15,
E0136,C0446,2026-09-20,100,
E0136,C0489,2025-12-21,20,
E0136,C0464,2026-08-18,100,2
E0136,C0448,2025-12-27,0,
E0136,C0434,2026-03-19,43,
E0136,C0483,2026-07-15,0,
E0136,C0468,2026-07-21,100,2
E0136,C0085,2026-08-23,100,4
E0137,C0262,2027-01-19,91,
E0137,C0425,2026-07-02,77,
E0138,C0476,2023-09-24,39,
E0138,C0498,2023-11-03,100,4
E0138,C0249,2023-09-02,100,
E0139,C0476,2026-08-11,100,
E0139,C0444,2025-10-22,81,
E0139,C0471,2025-12-05,82,
