id,titre,categorie,sujet,niveau,prix,duree_heures,date_publication,professeur_id
C0069,Atelier Grafana : une infrastructure,DevOps,Grafana,avance,49,16,2023-06-29,P025
C0070,Grafana pour les débutants,DevOps,Grafana,debutant,149,10,2023-01-01,P007
C0071,Les bases de Nginx,DevOps,Nginx,debutant,0,3,2025-08-06,P025
C0072,Nginx pour les débutants,DevOps,Nginx,debutant,29,9,2024-12-12,P007
C0073,Nginx en pratique,DevOps,Nginx,avance,59,38,2025-10-21,P019
C0074,Maîtriser Nginx,DevOps,Nginx,debutant,19,3,2024-04-09,P025
C0075,Nginx avancé : superviser un pipeline CI/CD,DevOps,Nginx,avance,29,45,2023-11-30,P025
C0076,Nginx : de zéro à la production,DevOps,Nginx,debutant,29,9,2025-09-10,P007
C0077,Atelier Nginx : vos applications,DevOps,Nginx,avance,129,23,2025-02-12,P025
C0078,Les bases de Linux,DevOps,Linux,debutant,39,9,2023-10-16,P001
C0079,Linux : le guide complet,DevOps,Linux,avance,99,34,2023-10-27,P025
C0080,Maîtriser Linux,DevOps,Linux,debutant,0,7,2024-10-29,P007
C0081,Atelier Linux : un cluster,DevOps,Linux,intermediaire,0,21,2025-12-26,P025
C0082,Linux : de zéro à la production,DevOps,Linux,avance,49,38,2023-02-17,P013
C0083,Linux expliqué simplement,DevOps,Linux,debutant,0,8,2025-04-20,P019
C0084,Linux avancé : déployer des conteneurs en production,DevOps,Linux,avance,39,23,2023-01-20,P007
C0085,Elasticsearch expliqué simplement,Données,Elasticsearch,debutant,79,7,2026-07-13,P008
C0086,Elasticsearch avancé : interroger des journaux applicatifs,Données,Elasticsearch,avance,49,31,2025-06-21,P002
C0087,Elasticsearch pour les débutants,Données,Elasticsearch,debutant,129,3,2025-10-21,P020
C0088,Maîtriser Elasticsearch,Données,Elasticsearch,avance,99,21,2023-01-18,P008
C0089,Atelier Elasticsearch : des journaux applicatifs,Données,Elasticsearch,debutant,149,7,2024-05-05,P008
C0090,Les bases de Elasticsearch,Données,Elasticsearch,debutant,199,3,2023-04-02,P026
C0091,Elasticsearch par la pratique : indexer un graphe de connaissances,Données,Elasticsearch,avance,19,16,2026-07-16,P008
C0092,OpenSearch par la pratique : modéliser des journaux applicatifs,Données,OpenSearch,avance,39,42,2023-01-15,P014
C0093,OpenSearch pour les débutants,Données,OpenSearch,debutant,29,10,2025-09-28,P014
C0094,Atelier OpenSearch : un entrepôt de données,Données,OpenSearch,debutant,99,6,2024-05-30,P008
C0095,Les bases de OpenSearch,Données,OpenSearch,debutant,79,8,2023-02-19,P008
C0096,OpenSearch avancé : modéliser un graphe de connaissances,Données,OpenSearch,avance,149,20,2025-04-09,P008
C0097,OpenSearch : de zéro à la production,Données,OpenSearch,intermediaire,59,15,2026-07-20,P020
C0098,OpenSearch en pratique,Données,OpenSearch,debutant,79,8,2025-07-19,P026
C0099,Kibana expliqué simplement,Données,Kibana,debutant,199,11,2024-09-22,P008
C0100,Les bases de Kibana,Données,Kibana,debutant,129,9,2025-02-06,P026
C0101,Kibana par la pratique : nettoyer un graphe de connaissances,Données,Kibana,avance,199,27,2025-11-15,P020
C0102,Kibana : de zéro à la production,Données,Kibana,debutant,199,12,2024-08-19,P002
C0103,Kibana pour les débutants,Données,Kibana,debutant,19,4,2026-05-06,P020
C0104,Atelier Kibana : des flux temps réel,Données,Kibana,debutant,39,5,2025-06-07,P020
C0105,Kibana avancé : nettoyer des flux temps réel,Données,Kibana,avance,79,43,2024-03-09,P020
C0106,Neo4j en pratique,Données,Neo4j,intermediaire,0,18,2025-10-02,P020
C0107,Neo4j avancé : modéliser des journaux applicatifs,Données,Neo4j,avance,199,27,2023-08-17,P014
C0108,Neo4j pour les débutants,Données,Neo4j,debutant,49,10,2024-09-24,P002
C0109,Neo4j : le guide complet,Données,Neo4j,avance,0,20,2023-06-20,P014
C0110,Maîtriser Neo4j,Données,Neo4j,avance,29,18,2025-10-10,P002
C0111,Neo4j : de zéro à la production,Données,Neo4j,debutant,0,4,2024-01-19,P014
C0112,Neo4j par la pratique : interroger des journaux applicatifs,Données,Neo4j,intermediaire,49,16,2024-01-29,P002
C0113,Maîtriser Cypher,Données,Cypher,intermediaire,19,12,2025-04-05,P014
C0114,Cypher pour les débutants,Données,Cypher,debutant,19,11,2023-07-31,P014
C0115,Cypher avancé : analyser un graphe de connaissances,Données,Cypher,avance,199,25,2024-12-27,P014
C0116,Cypher : le guide complet,Données,Cypher,avance,99,36,2025-12-05,P020
C0117,Cypher expliqué simplement,Données,Cypher,debutant,0,8,2025-12-05,P002
C0118,Atelier Cypher : des millions de documents,Données,Cypher,debutant,129,7,2023-06-01,P008
C0119,Cypher : de zéro à la production,Données,Cypher,debutant,149,3,2024-05-27,P020
C0120,PostgreSQL en pratique,Données,PostgreSQL,debutant,29,5,2025-07-15,P002
C0121,Les bases de PostgreSQL,Données,PostgreSQL,debutant,79,4,2024-06-26,P014
C0122,Maîtriser PostgreSQL,Données,PostgreSQL,intermediaire,49,21,2024-04-10,P008
C0123,PostgreSQL : le guide complet,Données,PostgreSQL,intermediaire,199,13,2025-05-15,P014
C0124,PostgreSQL : de zéro à la production,Données,PostgreSQL,avance,149,32,2024-11-07,P020
C0125,Atelier PostgreSQL : des journaux applicatifs,Données,PostgreSQL,debutant,39,9,2026-03-28,P014
C0126,PostgreSQL avancé : modéliser un graphe de connaissances,Données,PostgreSQL,avance,29,30,2025-04-15,P008
C0127,Atelier MongoDB : des journaux applicatifs,Données,MongoDB,avance,29,31,2023-09-13,P008
C0128,MongoDB pour les débutants,Données,MongoDB,debutant,29,3,2025-03-07,P008
C0129,MongoDB : de zéro à la production,Données,MongoDB,intermediaire,79,21,2025-04-24,P002
C0130,Maîtriser MongoDB,Données,MongoDB,intermediaire,99,18,2023-01-08,P020
C0131,MongoDB en pratique,Données,MongoDB,debutant,49,12,2025-08-08,P026
C0132,MongoDB : le guide complet,Données,MongoDB,debutant,29,10,2025-08-02,P014
C0133,Les bases de MongoDB,Données,MongoDB,debutant,99,8,2025-12-19,P026
C0134,Kafka expliqué simplement,Données,Kafka,debutant,199,12,2025-07-30,P002
C0135,Kafka : le guide complet,Données,Kafka,debutant,39,4,2023-03-15,P002
C0136,Kafka avancé : nettoyer un graphe de connaissances,Données,Kafka,avance,0,31,2024-08-11,P026
C0137,Kafka pour les débutants,Données,Kafka,debutant,0,8,2026-04-12,P020
C0138,Maîtriser Kafka,Données,Kafka,avance,79,43,2023-05-25,P014
C0139,Kafka : de zéro à la production,Données,Kafka,intermediaire,0,13,2023-10-19,P002
C0140,Atelier Kafka : un entrepôt de données,Données,Kafka,intermediaire,19,18,2024-07-08,P020
C0141,Les bases de Spark,Données,Spark,debutant,0,7,2023-04-11,P026
C0142,Spark pour les débutants,Données,Spark,debutant,39,9,2023-08-06,P020
C0143,Spark avancé : modéliser des flux temps réel,Données,Spark,avance,79,15,2023-11-23,P002
C0144,Spark : de zéro à la production,Données,Spark,debutant,129,6,2023-11-22,P014
C0145,Spark : le guide complet,Données,Spark,debutant,19,8,2025-07-27,P014
C0146,Spark expliqué simplement,Données,Spark,debutant,0,8,2023-08-07,P026
C0147,Maîtriser Spark,Données,Spark,debutant,149,3,2026-04-05,P008
C0148,Maîtriser Airflow,Données,Airflow,intermediaire,99,13,2025-11-02,P008
C0149,Airflow en pratique,Données,Airflow,avance,59,30,2025-11-02,P026
C0150,Airflow pour les débutants,Données,Airflow,debutant,29,5,2025-10-04,P008
C0151,Airflow avancé : indexer des millions de documents,Données,Airflow,avance,29,40,2023-01-24,P008
C0152,Airflow : le guide complet,Données,Airflow,debutant,19,8,2023-10-08,P008
C0153,Atelier Airflow : des millions de documents,Données,Airflow,intermediaire,199,13,2026-03-04,P026
C0154,Airflow expliqué simplement,Données,Airflow,debutant,129,3,2024-06-19,P002
C0155,dbt expliqué simplement,Données,dbt,debutant,79,10,2024-01-20,P026
C0156,dbt en pratique,Données,dbt,avance,199,30,2023-01-25,P002
C0157,dbt : le guide complet,Données,dbt,intermediaire,0,24,2024-11-27,P026
C0158,dbt par la pratique : indexer des flux temps réel,Données,dbt,debutant,19,5,2026-06-26,P014
C0159,Atelier dbt : des flux temps réel,Données,dbt,avance,19,19,2023-05-30,P014
C0160,Les bases de dbt,Données,dbt,debutant,19,7,2026-07-15,P020
C0161,dbt pour les débutants,Données,dbt,debutant,79,3,2023-08-18,P008
C0162,Redis en pratique,Données,Redis,avance,149,18,2024-04-27,P020
C0163,Redis : de zéro à la production,Données,Redis,intermediaire,19,10,2024-06-25,P020
C0164,Maîtriser Redis,Données,Redis,debutant,0,4,2025-12-18,P002
C0165,Redis avancé : indexer un graphe de connaissances,Données,Redis,avance,59,35,2025-10-11,P026
C0166,Redis par la pratique : indexer des flux temps réel,Données,Redis,intermediaire,19,14,2025-07-29,P020
C0167,Redis : le guide complet,Données,Redis,intermediaire,0,14,2025-05-13,P020
C0168,Redis pour les débutants,Données,Redis,debutant,149,4,2025-04-21,P014
C0169,Machine learning pour les débutants,IA,Machine learning,debutant,149,4,2023-09-10,P003
C0170,Machine learning : de zéro à la production,IA,Machine learning,intermediaire,99,19,2025-09-11,P027
C0171,Machine learning avancé : comprendre des agents autonomes,IA,Machine learning,avance,0,20,2026-06-17,P009
C0172,Maîtriser Machine learning,IA,Machine learning,avance,99,18,2025-12-22,P015
C0173,Atelier Machine learning : un système de recommandation,IA,Machine learning,avance,39,35,2023-12-07,P003
C0174,Machine learning expliqué simplement,IA,Machine learning,debutant,29,7,2025-05-07,P027
C0175,Machine learning en pratique,IA,Machine learning,debutant,149,9,2024-09-22,P021
C0176,Deep learning pour les débutants,IA,Deep learning,debutant,59,5,2025-04-08,P009
C0177,Deep learning : le guide complet,IA,Deep learning,intermediaire,0,17,2024-09-29,P003
C0178,Deep learning avancé : orchestrer un pipeline de prédiction,IA,Deep learning,avance,0,30,2023-08-07,P009
C0179,Les bases de Deep learning,IA,Deep learning,debutant,29,4,2025-11-12,P021
C0180,Deep learning expliqué simplement,IA,Deep learning,debutant,19,7,2025-08-04,P003
C0181,Deep learning par la pratique : orchestrer un assistant conversationnel,IA,Deep learning,debutant,99,7,2025-12-18,P009
C0182,Deep learning : de zéro à la production,IA,Deep learning,intermediaire,79,23,2023-12-01,P027
C0183,Scikit-learn pour les débutants,IA,Scikit-learn,debutant,29,10,2025-02-21,P027
C0184,Scikit-learn en pratique,IA,Scikit-learn,avance,59,42,2024-09-18,P027
C0185,Scikit-learn : de zéro à la production,IA,Scikit-learn,intermediaire,49,9,2024-05-09,P003
C0186,Scikit-learn expliqué simplement,IA,Scikit-learn,debutant,129,7,2024-06-26,P015
C0187,Les bases de Scikit-learn,IA,Scikit-learn,debutant,199,8,2023-05-31,P009
C0188,Atelier Scikit-learn : un système de recommandation,IA,Scikit-learn,intermediaire,39,12,2025-09-24,P015
C0189,Scikit-learn par la pratique : orchestrer des agents autonomes,IA,Scikit-learn,debutant,29,5,2023-09-29,P021
C0190,PyTorch par la pratique : évaluer un pipeline de prédiction,IA,PyTorch,debutant,49,12,2024-01-30,P021
C0191,PyTorch : de zéro à la production,IA,PyTorch,debutant,99,4,2025-03-06,P003
C0192,PyTorch : le guide complet,IA,PyTorch,intermediaire,0,17,2023-06-30,P015
C0193,PyTorch expliqué simplement,IA,PyTorch,debutant,199,10,2026-06-20,P027
C0194,PyTorch pour les débutants,IA,PyTorch,debutant,29,4,2025-10-24,P003
C0195,PyTorch en pratique,IA,PyTorch,avance,99,41,2025-11-08,P015
C0196,Les bases de PyTorch,IA,PyTorch,debutant,19,10,2026-07-22,P003
C0197,LangChain : le guide complet,IA,LangChain,debutant,129,8,2024-09-04,P021
C0198,LangChain par la pratique : entraîner un pipeline de prédiction,IA,LangChain,avance,79,38,2024-12-29,P009
C0199,Les bases de LangChain,IA,LangChain,debutant,199,4,2024-12-28,P003
C0200,LangChain en pratique,IA,LangChain,avance,79,42,2023-05-01,P015
C0201,LangChain avancé : déployer un système de recommandation,IA,LangChain,avance,0,38,2024-01-02,P027
C0202,Atelier LangChain : un système de recommandation,IA,LangChain,debutant,49,8,2024-01-09,P027
C0203,Maîtriser LangChain,IA,LangChain,avance,19,38,2024-11-16,P027
C0204,RAG avancé : évaluer un système de recommandation,IA,RAG,avance,99,37,2025-03-02,P027
C0205,Atelier RAG : un modèle de classification,IA,RAG,intermediaire,39,18,2023-09-28,P009
C0206,RAG par la pratique : déployer un modèle de classification,IA,RAG,debutant,39,12,2025-11-12,P021
C0207,Maîtriser RAG,IA,RAG,intermediaire,129,8,2026-07-15,P015
C0208,RAG pour les débutants,IA,RAG,debutant,39,9,2023-09-21,P021
C0209,RAG en pratique,IA,RAG,debutant,149,3,2025-10-08,P015
C0210,RAG expliqué simplement,IA,RAG,debutant,149,7,2025-04-08,P027
C0211,Agents IA : le guide complet,IA,Agents IA,intermediaire,99,22,2025-12-05,P027
C0212,Agents IA par la pratique : évaluer un pipeline de prédiction,IA,Agents IA,avance,0,45,2024-11-16,P009
C0213,Agents IA avancé : entraîner un assistant conversationnel,IA,Agents IA,avance,199,29,2025-10-20,P015
C0214,Agents IA : de zéro à la production,IA,Agents IA,intermediaire,0,20,2024-02-04,P027
C0215,Les bases de Agents IA,IA,Agents IA,debutant,49,7,2026-03-11,P015
C0216,Agents IA pour les débutants,IA,Agents IA,debutant,0,9,2025-12-23,P015
C0217,Atelier Agents IA : un assistant conversationnel,IA,Agents IA,avance,129,26,2023-11-17,P027
C0218,Prompt engineering par la pratique : entraîner un pipeline de prédiction,IA,Prompt engineering,avance,0,40,2026-06-04,P027
C0219,Prompt engineering avancé : déployer un système de recommandation,IA,Prompt engineering,avance,129,44,2024-09-26,P015
C0220,Prompt engineering en pratique,IA,Prompt engineering,debutant,99,12,2025-09-02,P021
C0221,Prompt engineering expliqué simplement,IA,Prompt engineering,debutant,29,10,2023-11-18,P027
C0222,Prompt engineering : le guide complet,IA,Prompt engineering,avance,149,21,2024-04-10,P009
C0223,Atelier Prompt engineering : un pipeline de prédiction,IA,Prompt engineering,debutant,149,8,2025-12-20,P015
C0224,Prompt engineering pour les débutants,IA,Prompt engineering,debutant,49,8,2026-04-10,P015
C0225,Les bases de Vision par ordinateur,IA,Vision par ordinateur,debutant,0,10,2025-02-21,P021
C0226,Vision par ordinateur par la pratique : orchestrer un modèle de classification,IA,Vision par ordinateur,debutant,19,6,2025-10-18,P003
C0227,Maîtriser Vision par ordinateur,IA,Vision par ordinateur,debutant,49,10,2024-03-07,P027
C0228,Atelier Vision par ordinateur : un modèle de classification,IA,Vision par ordinateur,intermediaire,129,10,2024-06-13,P027
C0229,Vision par ordinateur pour les débutants,IA,Vision par ordinateur,debutant,149,8,2026-03-07,P021
C0230,Vision par ordinateur : de zéro à la production,IA,Vision par ordinateur,intermediaire,99,25,2025-12-31,P009
C0231,Vision par ordinateur avancé : orchestrer un assistant conversationnel,IA,Vision par ordinateur,avance,79,40,2024-11-01,P021
C0232,NLP pour les débutants,IA,NLP,debutant,29,6,2025-04-15,P021
C0233,NLP en pratique,IA,NLP,avance,149,18,2023-05-07,P003
C0234,NLP : de zéro à la production,IA,NLP,intermediaire,199,22,2023-11-05,P009
C0235,Les bases de NLP,IA,NLP,debutant,129,3,2024-11-08,P003
C0236,NLP avancé : évaluer un système de recommandation,IA,NLP,avance,59,38,2024-06-10,P009
C0237,Atelier NLP : des agents autonomes,IA,NLP,intermediaire,129,22,2025-03-09,P015
C0238,NLP : le guide complet,IA,NLP,avance,0,16,2023-03-12,P027
C0239,Les bases de MLOps,IA,MLOps,debutant,129,9,2025-07-01,P027
C0240,Maîtriser MLOps,IA,MLOps,intermediaire,49,19,2025-10-18,P009
C0241,Atelier MLOps : des agents autonomes,IA,MLOps,avance,199,15,2024-06-18,P021
C0242,MLOps expliqué simplement,IA,MLOps,debutant,79,10,2025-05-09,P021
C0243,MLOps avancé : évaluer un pipeline de prédiction,IA,MLOps,avance,99,25,2024-03-26,P003
C0244,MLOps : de zéro à la production,IA,MLOps,debutant,0,6,2025-02-03,P009
C0245,MLOps par la pratique : évaluer un pipeline de prédiction,IA,MLOps,intermediaire,129,14,2025-07-19,P003
C0246,LLM open source pour les débutants,IA,LLM open source,debutant,0,7,2025-10-13,P015
C0247,LLM open source : de zéro à la production,IA,LLM open source,debutant,29,9,2023-08-24,P003
C0248,LLM open source avancé : déployer un modèle de classification,IA,LLM open source,avance,199,33,2025-04-11,P027
C0249,LLM open source en pratique,IA,LLM open source,debutant,199,12,2023-03-10,P021
C0250,LLM open source expliqué simplement,IA,LLM open source,debutant,19,7,2025-11-14,P027
C0251,LLM open source par la pratique : comprendre un pipeline de prédiction,IA,LLM open source,debutant,49,6,2025-12-18,P003
C0252,Les bases de LLM open source,IA,LLM open source,debutant,0,3,2023-02-02,P003
C0253,Atelier React : une application web complète,Développement web,React,intermediaire,0,24,2026-01-02,P022
C0254,React en pratique,Développement web,React,avance,0,39,2025-06-02,P016
C0255,React expliqué simplement,Développement web,React,debutant,199,12,2024-12-10,P016
C0256,Maîtriser React,Développement web,React,debutant,129,8,2024-05-04,P004
C0257,Les bases de React,Développement web,React,debutant,29,4,2025-10-19,P016
C0258,React pour les débutants,Développement web,React,debutant,49,4,2023-10-08,P004
C0259,React avancé : optimiser une API,Développement web,React,avance,79,17,2024-08-05,P022
C0260,Next.js : le guide complet,Développement web,Next.js,debutant,99,5,2026-05-22,P022
C0261,Next.js par la pratique : sécuriser une application web complète,Développement web,Next.js,intermediaire,39,10,2026-01-23,P016
C0262,Next.js expliqué simplement,Développement web,Next.js,debutant,19,4,2023-10-19,P016
C0263,Next.js avancé : construire une API,Développement web,Next.js,avance,199,27,2026-05-14,P004
C0264,Atelier Next.js : une API,Développement web,Next.js,debutant,39,11,2023-03-27,P016
C0265,Next.js en pratique,Développement web,Next.js,avance,19,39,2025-09-08,P004
C0266,Next.js : de zéro à la production,Développement web,Next.js,intermediaire,59,22,2026-03-07,P028
C0267,Atelier TypeScript : un SaaS,Développement web,TypeScript,debutant,79,7,2023-07-10,P004
C0268,Les bases de TypeScript,Développement web,TypeScript,debutant,19,11,2025-10-15,P010
C0269,TypeScript avancé : sécuriser une boutique en ligne,Développement web,TypeScript,avance,19,18,2026-02-21,P016
C0270,TypeScript en pratique,Développement web,TypeScript,debutant,79,4,2023-10-30,P016
C0271,Maîtriser TypeScript,Développement web,TypeScript,intermediaire,59,18,2023-01-22,P028
C0272,TypeScript : de zéro à la production,Développement web,TypeScript,intermediaire,129,9,2025-10-08,P016
C0273,TypeScript par la pratique : tester une boutique en ligne,Développement web,TypeScript,intermediaire,39,22,2023-10-05,P004
C0274,Node.js avancé : tester un SaaS,Développement web,Node.js,avance,59,31,2026-07-23,P028
C0275,Node.js en pratique,Développement web,Node.js,avance,0,29,2025-05-15,P022
C0276,Node.js expliqué simplement,Développement web,Node.js,debutant,99,7,2023-06-11,P010
C0277,Node.js pour les débutants,Développement web,Node.js,debutant,39,8,2024-03-25,P004
C0278,Maîtriser Node.js,Développement web,Node.js,debutant,129,10,2026-02-12,P004
C0279,Node.js : le guide complet,Développement web,Node.js,intermediaire,0,11,2024-06-17,P016
C0280,Atelier Node.js : une application web complète,Développement web,Node.js,avance,29,22,2026-05-05,P022
C0281,Vue.js pour les débutants,Développement web,Vue.js,debutant,39,11,2026-03-21,P010
C0282,Vue.js : de zéro à la production,Développement web,Vue.js,intermediaire,149,9,2023-09-30,P022
C0283,Vue.js : le guide complet,Développement web,Vue.js,avance,99,23,2026-01-21,P028
C0284,Vue.js en pratique,Développement web,Vue.js,intermediaire,39,16,2025-12-17,P022
C0285,Vue.js par la pratique : optimiser une API,Développement web,Vue.js,debutant,149,8,2023-08-06,P028
C0286,Vue.js avancé : publier un SaaS,Développement web,Vue.js,avance,129,30,2026-06-28,P028
C0287,Maîtriser Vue.js,Développement web,Vue.js,intermediaire,39,23,2023-09-27,P028
C0288,Tailwind CSS : de zéro à la production,Développement web,Tailwind CSS,avance,49,27,2025-05-13,P028
C0289,Maîtriser Tailwind CSS,Développement web,Tailwind CSS,debutant,0,12,2025-06-30,P010
C0290,Tailwind CSS : le guide complet,Développement web,Tailwind CSS,intermediaire,129,23,2023-01-09,P028
C0291,Les bases de Tailwind CSS,Développement web,Tailwind CSS,debutant,0,5,2024-11-04,P028
C0292,Tailwind CSS expliqué simplement,Développement web,Tailwind CSS,debutant,49,10,2025-09-10,P028
C0293,Tailwind CSS avancé : publier un SaaS,Développement web,Tailwind CSS,avance,0,20,2025-01-19,P022
C0294,Tailwind CSS pour les débutants,Développement web,Tailwind CSS,debutant,49,5,2025-04-12,P022
C0295,Maîtriser REST API,Développement web,REST API,intermediaire,199,14,2024-02-01,P028
C0296,Les bases de REST API,Développement web,REST API,debutant,199,10,2026-01-15,P004
C0297,REST API expliqué simplement,Développement web,REST API,debutant,79,5,2023-09-07,P016
C0298,REST API avancé : construire une application web complète,Développement web,REST API,avance,19,39,2025-07-31,P016
C0299,REST API : le guide complet,Développement web,REST API,avance,0,28,2025-04-10,P004
C0300,Atelier REST API : un portfolio,Développement web,REST API,intermediaire,19,24,2023-06-26,P016
C0301,REST API par la pratique : construire un portfolio,Développement web,REST API,avance,59,44,2026-02-19,P010
C0302,GraphQL pour les débutants,Développement web,GraphQL,debutant,79,4,2024-10-12,P028
C0303,GraphQL avancé : sécuriser un portfolio,Développement web,GraphQL,avance,59,24,2025-07-22,P022
